project_id,title,completion_year,supervisors
BPH000190,DEVELOPMENT OF HERBAL TROPICAL CREAMS FOR VARIOUS SKIN CONDITIONS,2008,MALELE; MOSHI
BPH000191,ASSESSMENT OF COMPOUNDING PRACTICE IN PHARMACEUTICAL SERVICE DELIVERY OUTLETS IN DSM.,2008,CHAMBUSO
BPH000192,ASSESSMENT OF QUALITY OF PHARMACY OUTLETS IN PRIVATE HOSPITAL IN DSM.,2008,CHAMBUSO
BPH000193,"SCREENING FOR IN VITRO ANTIMICROBIAL ACTIVITY OF MEDICINAL PLANT EXTRACTS COMMONLY, USED IN LAKE ZONE REGIONS.",2008,MWAMBETE
BPH000194,"ANTIMICROBIAL ACTIVITY OF ACANTHUS PUBESCENS, LANNEA SCHIMPERII AND CAESALPINIA BUNDUC ROOT EXTRACTS.",2008,MOSHI
BPH000195,SCREENING FOR IN VITRO ANTIMICROBIAL ACTIVITY OF MEDICINAL PLANTS EXTRACTS FROM LAKE ZONE REGIONS,2008,MWAMBETE
BPH000196,QUALIFICATION OF DISSOLUTION TESTER AND FOURIER TRANSFORM INFRARED SPECTROPHOTOMETER.,2008,KAALE; RISHA
BPH000197,ASSESSMENT AND IDENTIFICATION OF FAKE AND COUNTERFEIT DRUGS BY COMMUNITY AND HOSPITAL PHARMACISTS IN DSM.,2008,MUGOYELA
BPH000198,ASSESSMENT OF IN PATIENT PHARMACEUTICAL CARE AT MNH.,2008,TEMU
BPH000199,"ASSESSMENT OF PHARMACEUTICAL AND MEDICAL MAL-PRACTICE IN MALARIA TREATMENT IN HEALTH CARE FACILITIES INCLUDING DISPENSARIES, PHARMACIES AND HOSPITALS IN DSM.",2008,MUNG’ONG’O; HAULE
BPH000200,DEVELOPMENT OF STANDARDIZATION MARKERS FOR A HERBAL TOPICAL CREAM,2008,MOSHI
